ITEM-ID	DESC-1	DESC-2	VEND-ID	VEND-ITEM-ID	PROD-CLS	KEYWORD	STK-UOM	CST-UOM	PRC-UOM	TYPE	CHARACTERISTICS	BUYER-CD	ALW-SLS-HIST	ALW-SERIALIZED	WARRANTY ITEM	ALW-PERC-LVL-ADJ	ALW-COMMIS	ALW-LOT-INVEN	MFG-PUR-REP-SURCHG	PHANTOM	ALW-MODEL-ITEM	ALW-BACKFLUSH	REV-DT	EFF-DT	WGT-UOM	STD-CSTIML	COMMIS-PERC	UNT-WGT
139-8744            	PLATE                    	REV 01                   	      	                    	PART	CATERPILLAR    	EA    	EA    	EA    	1	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/30/2003	      	1.36	0	0
13ME3246M           	HEAT SHIELD              	REV B 775PCS W/8168624   	      	                    	FGIN	MACK           	EA    	EA    	EA    	B 	                              	   	Y	Y	N	N	Y	N	M	N	N	N	4/13/2005	3/8/2002	      	0.42	0	0
13ME3246M2          	SHIELD EXHAUST           	REV B  (360 PCS.)        	      	                    	FGIN	MACK           	EA    	EA    	EA    	B 	                              	   	Y	Y	N	N	Y	N	M	N	N	N	4/13/2005	5/12/2005	      	3.15	0	0
13RG340             	BRKT POWER TAKE OFF      	REV A                    	      	                    	FGIN	MACK           	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	6/11/2003	      	9.93	0	0
13RG341             	BRKT POWER TAKE OFF      	REV A                    	      	                    	FGIN	MACK           	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	6/11/2003	      	6.53	0	0
140-0206            	PLATE                    	REV 00                   	      	                    	FGIN	CATERPILLAR    	EA    	EA    	EA    	0	                              	   	Y	Y	N	N	N	N	M	N	N	N	        	7/1/2003	      	3.33	0	0
140-8949            	SUPT W/ASSY FAN          	REV 09                   	      	                    	FGIN	CATERPILLAR    	EA    	EA    	EA    	9	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/26/2003	      	65.59	0	0
140-8949-2          	CHANNEL-A                	REV 09                   	      	                    	PART	CATERPILLAR    	EA    	EA    	EA    	9	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/26/2003	      	6.62	0	0
140-8949-3          	PLATE B                  	REV 09                   	      	                    	PART	CATERPILLAR    	EA    	EA    	EA    	9	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/26/2003	      	34.58	0	0
140-8949-4          	PLATE D                  	REV 09                   	      	                    	PART	CATERPILLAR    	EA    	EA    	EA    	9	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/26/2003	      	2.32	0	0
140059              	CORNER POST RH OPP.      	REV G                    	      	                    	FGIN	MK METAL PROD. 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	11/11/1998	      	0	0	0
140060              	CORNER POST LH.SHOWN     	REV.G                    	      	                    	FGIN	MK METAL PROD. 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	11/11/1998	      	0	0	0
140061              	CORNER POST RH OPP.      	REV. G                   	      	                    	FGIN	MK METAL       	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	11/30/1998	      	0	0	0
140062              	CORNER POST LH.SHOWN     	REV G                    	      	                    	FGIN	MK METAL       	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	11/30/1998	      	0	0	0
140330              	PROJECTION WELD NUT      	A                        	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	P	 	 	 	        	11/9/1992	      	0.1	0	1
140331              	PLATE-COVER              	REV.B                    	      	                    	PART	COMPONENT      	EA    	EA    	LB    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	        	3/2/1992	      	0	0	1
140352              	STEEL HINGE W/ 1/4 PIN   	2-OPEN X 2-KNUCKLE X14GA 	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	P	 	 	 	        	5/14/1990	LB    	0	0	1
140352-M            	.074 STL HINGE W/1/4BRASS	2.0 OPEN X2.0 KNUCKLES   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	P	 	 	 	        	5/14/1990	LB    	12.62	0	1
140444              	BRKT MT                  	REV-B                    	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	12/26/1991	      	0	5	1
140552              	FLOOR - TREADPLATE       	"REV ""B"", 03/12/01        "	      	                    	FGIN	MASTERACK      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	2/12/2001	2/6/2003	      	0	0	0
140553              	FLOOR - TREADPLATE       	"REV ""A"",  06/14/00       "	      	                    	FGIN	MASTERACK      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	6/14/2000	2/6/2003	      	0	0	0
140642              	CONSOLE WLDMT LOWER FT   	                         	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	10/17/1990	LB    	0	5	1
140723              	10-24 UNC WELD NUT       	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	P	 	 	 	        	12/5/1992	      	0.1	0	1
141-2523            	PLATE                    	REV 02                   	      	                    	FGIN	CATERPILLAR    	EA    	EA    	EA    	2	                              	   	Y	Y	N	N	N	N	M	N	N	N	        	7/1/2003	      	12.66	0	0
141-5921            	PLATE                    	REV 02                   	      	                    	PART	CATERPILLAR    	EA    	EA    	EA    	2	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/30/2003	      	3.72	0	0
141-5922            	GUSSET                   	REV 01                   	      	                    	PART	CATERPILLAR    	EA    	EA    	EA    	1	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/30/2003	      	4.8	0	0
141-5937            	BRACKET ASSY             	REV 02                   	      	                    	FGIN	CATERPILLAR    	EA    	EA    	EA    	2	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/30/2003	      	17.45	0	0
141-7157            	BRACKET ASSY             	REV 01                   	      	                    	FGIN	CATERPILLAR    	EA    	EA    	EA    	1	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/29/2003	      	6.74	0	0
141-7157-01         	PLATE-01                 	REV 01                   	      	                    	PART	CATERPILLAR    	EA    	EA    	EA    	1	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/29/2003	      	1.81	0	0
141-7157-02         	PLATE-02                 	REV 01                   	      	                    	PART	CATERPILLAR    	EA    	EA    	EA    	1	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/29/2003	      	0.94	0	0
141-7157-03         	GUSSET-03                	REV 01                   	      	                    	PART	CATERPILLAR    	EA    	EA    	EA    	1	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/29/2003	      	0.6	0	0
141-9322            	BRACKET ASSY             	REV 01                   	      	                    	FGIN	CATERPILLAR    	EA    	EA    	EA    	1	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/29/2003	      	42.82	0	0
141-9323            	BRACKET ASSY             	REV 01                   	      	                    	FGIN	CATERPILLAR    	EA    	EA    	EA    	1	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/29/2003	      	47.78	0	0
141339              	FLOORPLATE - RH          	"REV ""C"", 12/06/02        "	      	                    	FGIN	MASTERACK      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	12/6/2002	2/6/2003	      	0	0	0
141340              	FLOORPLATE - LH          	"REV ""C"", 12/06/02        "	      	                    	FGIN	MASTERACK      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	12/6/2002	2/6/2003	      	0	0	0
141653              	PANEL WLDMT INSTR        	REV C                    	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	8/24/1990	LB    	0	5	1
141666              	INSTRUMENT PANEL         	REV. G                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	        	      	0	0	1
141667              	PLATE-BRKT MTG           	REV. B                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	        	      	0	0	1
