ITEM-ID	WHSE-CD	LAST-ACT-DT	LAST-ORD-DT	LAST-SHIP-DT	LAST-RCPT-DT	LST-TRAN-DT	LST-ADJ-DT	ECON-ORD-QTY	SHP-LEAD-TM	VEND-LD-TM	STD-COST	AVG-COST	LST-RCPT-CST	ON HAND	REL-QTY	BO-QTY	FUT-QTY	ON-ORD-QTY	MTD-RCPT	MTD-SALES	MTD-ADJ	MTD-TRAN	MTD-BOOKED	YTD-BO	QTD-PUR	PQ-PUR	DESC-1	DESC-2	VEND-ID	VEND-ITEM-ID	PROD-CLS	KEYWORD	STK-UOM	CST-UOM	PRC-UOM	TYPE	CHARACTERISTICS	BUYER-CD	ALW-SLS-HIST	ALW-SERIALIZED	WARRANTY ITEM	ALW-PERC-LVL-ADJ	ALW-COMMIS	ALW-LOT-INVEN	MFG-PUR-REP-SURCHG	PHANTOM	ALW-MODEL-ITEM	ALW-BACKFLUSH	REV-DT	EFF-DT	WGT-UOM	STD-CSTIML	COMMIS-PERC	UNT-WGT
030473																											WHEEL FRAME SUPPORT TAB	REV. C 4450			PART	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	5/31/1996	11/6/2001		0	0	0
030477																											PNEU. WHEEL FRAME ASS'Y.	REV. B 4450			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	8/9/1996	11/6/2001		0	0	0
031764																											GUSSET,CASTER BRKT       	REV.C			PART	COMPONENT	EA	EA	EA				Y				Y		M					11/30/1998		0	0	0
031916																											CASTER BRACKET ASSY,RIGHT	REV.D			FGIN	LESCO	EA	EA	EA				Y				Y		M					11/30/1998		0	0	0
031918																											CASTER BRKT ASSY, RIGHT  	REV.E			FGIN	LESCO	EA	EA	EA				Y				Y		M				1/12/1999	11/30/1998		0	0	0
031927																											FLANGE,BOTTOM,RT CASTER  	REV.B			PART	COMPONENT	EA	EA	EA				Y				Y		M					11/30/1998		0	0	0
031979																											FLANGE,TOP,RT CASTER BRKT				PART	COMPONENT	EA	EA	EA				Y				Y		M					11/30/1998		0	0	0
032017																											CASTER BRKT.ASSY,LEFT    	REV.E			FGIN	LESCO	EA	EA	EA				Y				Y		M				1/12/1999	11/30/1998		0	0	0
032123																											FLANGE,TOP,LT CASTER BRKT	REV.B			PART	COMPONENT	EA	EA	EA				Y				Y		M					11/30/1998		0	0	0
032210																											GUSSET	REV.A ECN-2389			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	8/17/2000			0	0	0
032275																											FLANGE,BOTTOM,LT CASTER  	REV.B			PART	COMPONENT	EA	EA	EA				Y				Y		M					11/30/1998		0	0	0
033996																											LONG SCRAPER	DWG.NO. B-033996 / REV.A			FGIN	LESCO	EA	EA	EA				Y				Y		M					10/14/1998		0	0	0
036955																											DECK PIVOT PIN ASSEMBLY	REV C 06/11/92			FGIN	LESCO	EA	EA	EA				Y				N		M				6/11/1992	11/12/1999		0	0	0
038932																											ADJUSTER ASSY, DECK DOWN 	REV. C, DATED 05/01/96   			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	5/1/1996	12/10/1999		0	0	0
043044																											CHUTE TRANSITION	REV B 8/23/90			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	8/23/1990	4/18/2000		0	0	0
043485																											GUIDE, DECK DOWN ADJUSTER	REV. B, DATED 05/05/89   			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	5/5/1989	12/10/1999		0	0	0
055279																											PLATE, AXLE PIVOT        	REV. B, DATED 07/07/93   			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	7/7/1993	12/10/1999		0	0	0
057409																											SUPPORT,TAILWHEEL FORK   	INITIAL RELEASE 7/20/89			PART	COMPONENT	EA	EA	EA				N				N		M					8/25/1999		0	0	0
057775																											HOLDER, RECOVERY TANK    	REV A, DATED 042393      			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	4/23/1993	12/8/1999		0	0	0
057860																											MOUNT, BELT TIGHTENER    	REV. D, DATED 02/11/97   			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	2/11/1997	12/8/1999		0	0	0
058590																											SHAFT, BLOWER            	REV. C	120501		PURC	COMPONENT	EA	EA	EA				Y				N		P				7/1/1994	4/6/1999		0	0	0
060349																											YOKR,TAILWHEEL CASTER    	REV C 09/15/94			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	9/15/1994	6/7/2000		0	0	0
060387																											TAILWHEEL CASTER ASSY.	REV A 05/20/94			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	5/20/1994	6/7/2000		41.67	0	0
061515																											STABILIZER ARM ASSY	REV.A ECN-3189			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		8/17/2000		0	0	0
063610																											BRAKE PIVOT MOUNT,REAR   	REV C 8/25/99			FGIN	LESCO	EA	EA	EA				N				N		M				8/25/1999	8/26/1999		0	0	0
065188																											RH IDLE BRACKET	REV A 4/8/93			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	4/8/1993	10/11/2000		13.77	0	0
068627																											IMPELLER ASSEMBLY	REV. C			FGIN	LESCO	EA	EA	EA				Y				Y		M				2/2/1999	4/6/1999		0	0	0
069583																											DECK PIVOT HARNESS	DWG.NO. C-069583 / REV.G			FGIN	LESCO	EA	EA	EA				Y				Y		M					10/14/1998		0	0	0
070989																											COVER ASSEMBLY,BLOWER    	REV A 10/19/89			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	10/19/1989	6/7/2000		0	0	0
071402																											TUBE SOCKET,BLOWER COVER 	REV A 10/19/89			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	10/19/1989	6/7/2000		0	0	0
071767																											COVER,BLOWER             	REV A 01/16/90			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	1/16/1990	6/7/2000		0	0	0
073440																											STOP,CLUTCH              	DWG.NO. B-073440 / REV.A			FGIN	LESCO	EA	EA	EA				Y				Y		M					10/16/1998		0	0	0
076700																											DECK CASTER ASSEMBLY	DWG.NO. B-076700 / REV.E			FGIN	LESCO	EA	EA	EA				Y				Y		M					10/14/1998		5.04	0	0
078418																											LOWER HANDLE ASSEMBLY	NO REVISIONS			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	8/16/1993	12/10/1999		0	0	0
079854																											WASHER,ROLLER BRACKET    	REV A 04/25/94			FGIN	LESCO	EA	EA	EA				Y				N		M				4/25/1994	11/2/1999		0.97	0	0
080606																											CHUTE,SIDE DISCHARGE     	REV A 08/26/94			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	8/26/1994	6/21/2000		0	0	0
082073																											CHUTE,SIDE DISCHARGE     	REV D 04/10/95			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	4/10/1995	6/21/2000		0	0	0
082664																											PANEL,SCREEN,UPPER FRAME 	REV C, 01/06/95          			FGIN	LESCO	EA	EA	EA				Y				Y		M				1/6/1995	3/12/1999		0	0	0
082715																											LOWER HALF,BLOWER CHUTE  	REV E 3/31/95			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	3/31/1995	4/18/2000		0	0	0
082945																											FRONT DECK COVER ASSY	REV. C			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		7/25/2000		0	0	0
082984																											FOOTREST	REV. A			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		7/26/2000		0	0	0
083096																											PANEL,FRONT,DECK COVER   	REV. B			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		7/26/2000		0	0	0
083139																											PANEL,LEFT,FOOTREST      	I/R			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		7/26/2000		0	0	0
083247																											PANEL,RIGHT,FOOTREST     	I/R			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		7/26/2000		0	0	0
083256																											HINGE,DECK CHUTE         	REV A 7/5/90			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	7/5/1990	4/18/2000		0	0	0
083257																											TOP HALF,DECK CHUTE      	REVC 5/16/90			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	5/16/1990	4/18/2000		0	0	0
083281																											PANEL,FILLER,LEFT        	REV. A			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		7/26/2000		0	0	0
083308																											HINGE SUPPORT,DECK CHUTE 	REV      05/16/90			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		4/18/2000		0	0	0
083335																											PANEL,FILLER,RIGHT       	REV. A			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		7/26/2000		0	0	0
083928																											PIVOT ASSEMBLY, DECK     	REV. D, DATED 09/25/89   			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	9/25/1989	12/10/1999		0	0	0
084550																											COOLANT RECOVERY BRACKET	NO REVISIONS			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		12/8/1999		0	0	0
084565																											BRACKET, COOLANT RECOVERY	NO REVISIONS			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		12/8/1999		0	0	0
084985																											COVER,BATTERY            	REV A 02/25/00			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	2/25/2000	6/21/2000		0	0	0
085195																											FENDER	REV. D, DATED 06/02/95   			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	6/2/1995	1/13/2000		0	0	0
085700																											BLOWER CHUTE	REV F 3/31/95			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	3/31/1995	4/18/2000		0	0	0
087319																											SHROUD, REAR             	REV D  14301			FGIN	ARIENS	EA	EA	EA				Y				Y		M					6/7/1995		0	0	0
087321																											SHIELD, DECK             	REV D  14301			FGIN	ARIENS	EA	EA	EA				Y				Y		M					6/7/1995		0	0	0
089281																											CLAMP,MUFFLER            	REV A 02/27/90			FGIN	LESCO	EA	EA	EA				Y				N		M				2/27/1990	11/12/1999		0	0	0
093032																											BAND,UPPER MUFFLER CLAMP 	REV C 03/13/92			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	3/13/1992	4/17/2000		0	0	0
093159																											BASE,UPPER MUFFLER CLAMP 	REV B 05/22/90			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	5/22/1990	4/17/2000		0	0	0
093828																											UPPER CLAMP,MUFFLER      	REV D 03/13/92			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	3/13/1992	4/17/2000		0	0	0
094960																											HINGE,DEFLECTOR          	REV C 04/10/95			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	4/10/1995	6/21/2000		0	0	0
097095																											HUB, IMPELLER            	REV. A	91402		PURC	COMPONENT	EA	EA	EA				N				N		P				4/16/1993	4/6/1999		0	0	0
097782																											GUSSET,TAILWHEEL FORK    	REV B 04/05/94			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	4/5/1994	6/7/2000		0	0	0
097867																											VANE, IMPELLER           	NO REVISIONS			PART	COMPONENT	EA	EA	EA				Y				Y		M					4/6/1999		0	0	0
098666																											PLATE, BACKING, IMPELLER 	NO REVISIONS			PART	COMPONENT	EA	EA	EA				Y				N		M					4/6/1999		0	0	0
105013																											BOX 11.125X11.125X5.250	SPRING COVE CONTAINER			PART	COMPONENT	EA	MPCS	EA		SAME AS S24		Y				Y		M							469	0	1
105611																											NUT				PART	COMPONENT	EA	EA	EA				Y				N		M					2/26/1990	LB	0	0	1
106565																											HOSE GUIDE WELDT.	PO 3			FGIN	FINISHED GOODS	EA	EA	EA				Y				Y		M					4/4/1990	LB	0	5	1
107357																											BRKT-ACCEL SWITCH MTG.	REV 4			FGIN	FINISHED GOODS	EA	EA	EA				Y				Y		M					2/7/1995		0	5	0
107594																											FILLER	REV-A			FGIN	FINISHED GOODS	EA	EA	EA				Y				Y		M					12/26/1991		0	5	1
108423																											SUPPORT WINDOW				FGIN	FINISHED GOODS	EA	EA	EA				Y				Y		M					4/12/1990	LB	0	5	1
108568																											REV-B				FGIN	FINISHED GOODS	EA	EA	EA				Y				Y		M					2/23/1993		0	5	1
109001																											DOOR LATCH	REV #			PART	GROVE	EA	EA	EA	#		LAT	Y	Y	N	N	Y	N	M	N	N	N	5/1/2002	6/13/2005		0	0	0
109008																											DOOR MOLDING  REV IR	CUT TO 62.58			PART	GROVE	EA	EA	EA	IR			Y	Y	N	N	Y	N	M	N	N	N		4/8/2005		0	0	0
109017																											CAB FINAL ASSY	REV 6 USE W/109017A			FGIN	GROVE	EA	EA	EA	6		CAB	Y	Y	N	N	Y	N	M	N	N	N	3/4/2003	4/4/2005		3509.46	0	0
109018																											CAB DOOR ASSY	REV 2			PART	GROVE	EA	EA	EA	2		DOR	Y	Y	N	N	Y	N	M	N	N	N	10/22/2002	3/22/2005		422.68	0	0
109023																											WEATHERSTRIP BRUSH	REV 1			PART	GROVE	EA	EA	EA	1			Y	Y	N	N	Y	N	M	N	N	N	7/21/2002	3/21/2005		11.32	0	0
109027																											INSULATION	REV IR			PART	GROVE	EA	EA	EA	IR			Y	Y	N	N	Y	N	M	N	N	N	5/22/2002	3/22/2005		18.66	0	0
109028																											INSULATION	REV IR			PART	GROVE	EA	EA	EA	IR			Y	Y	N	N	Y	N	M	N	N	N	5/22/2002	3/22/2005		4.26	0	0
109029																											INSULATION	REV IR			PART	GROVE	EA	EA	EA	IR			Y	Y	N	N	Y	N	M	N	N	N	5/22/2002	3/22/2005		15.06	0	0
109030																											INSULATION	REV 1			PART	GROVE	EA	EA	EA	1			Y	Y	N	N	Y	N	M	N	N	N	9/22/2002	3/22/2005		4.26	0	0
109031																											INSULATION	REV 1			PART	GROVE	EA	EA	EA	1			Y	Y	N	N	Y	N	M	N	N	N	9/22/2002	3/22/2005		9.36	0	0
109033																											INSULATION	REV IR			PART	GROVE	EA	EA	EA	IR			Y	Y	N	N	Y	N	M	N	N	N	5/22/2002	3/22/2005		21.66	0	0
109955																											MOUNTING - BRACKET	REV A			PART	COMPONENT	EA	EA	EA				Y				Y		M					1/28/1993		0	0	1
110136																											LABEL				PURC	COMPONENT	EA	EA	EA				Y				Y		P							0	0	1
111816																											SUPPORT MAT	REV C			PART	COMPONENT	EA	EA	EA				Y				Y		M					1/28/1993		0	0	1
